草药名	contains序号	all序号
冰片	657	TCMBANKHE003753
蛤壳	658	NA
青葙子	659	TCMBANKHE005846
桂皮	660	TCMBANKHE008041
马宝	661	TCMBANKHE003563
白薇	662	TCMBANKHE005794
苦瓜	663	TCMBANKHE006930
乌药	664	TCMBANKHE004159
木棉	665	NA
郁李	666	NA
血余炭	667	TCMBANKHE000390
柠檬	668	TCMBANKHE003843
臭梧桐	669	TCMBANKHE006714
岗梅	670	TCMBANKHE001518
地枫皮	671	TCMBANKHE009013
瞿麦	672	TCMBANKHE007393
大风子	673	TCMBANKHE007080
决明子	674	TCMBANKHE004160
千里光	675	TCMBANKHE006796
蒲公英	676	TCMBANKHE006962
厚朴	677	TCMBANKHE005710
土荆皮	678	TCMBANKHE008538
桃仁	679	TCMBANKHE005082
山羊角	680	NA
槲寄生	681	TCMBANKHE005071
山慈菇	682	TCMBANKHE004018
蝼蛄	683	TCMBANKHE003531
侧柏叶	684	TCMBANKHE009036
莳萝	685	NA
干漆	686	TCMBANKHE002831
玳瑁	687	TCMBANKHE003619
凤仙花	688	TCMBANKHE007655
大腹皮	689	TCMBANKHE003895
炮姜	690	TCMBANKHE003948
绿萼梅	691	TCMBANKHE003009
土鳖虫	692	TCMBANKHE005686
柿霜	693	NA
砂仁	694	TCMBANKHE007520
苘麻	695	NA
荸荠	696	NA
朱砂根	697	TCMBANKHE005665
朱砂	698	NA
老鹳草	699	TCMBANKHE004319
南五味子	700	TCMBANKHE003859
硼砂	701	TCMBANKHE003937
鸡眼草	702	TCMBANKHE008524
半夏	703	TCMBANKHE007230
檀香	704	TCMBANKHE007402
苍耳	705	TCMBANKHE004630
吴茱萸	706	TCMBANKHE006061
荞麦	707	TCMBANKHE005333
脐带	708	NA
罂粟壳	709	TCMBANKHE004577
人中白	710	TCMBANKHE006861
蔓荆子	711	TCMBANKHE007269
羌活	712	TCMBANKHE005929
青礞石	713	TCMBANKHE000659
拳参	714	TCMBANKHE008158
地胆草	715	NA
香薷	716	TCMBANKHE003940
葛根	717	TCMBANKHE003749
佩兰	718	TCMBANKHE005377
生地黄	719	TCMBANKHE000850
水红花子	720	TCMBANKHE009034
连钱草	721	TCMBANKHE004907
草豆蔻	722	TCMBANKHE004360
虻虫	723	NA
人中黄	724	NA
覆盆子	725	TCMBANKHE007765
北豆根	726	TCMBANKHE006056
五倍子	727	TCMBANKHE005325
仙茅	728	TCMBANKHE005461
橘红	729	TCMBANKHE002292
地锦草	730	TCMBANKHE005380
广藿香	731	TCMBANKHE007303
十大功劳	732	TCMBANKHE005563
淫羊藿	733	TCMBANKHE005158
杏	734	NA
荷叶	735	TCMBANKHE005257
沙棘	736	TCMBANKHE004699
红景天	737	TCMBANKHE008143
青葙	738	TCMBANKHE008563
瓦松	739	TCMBANKHE001282
佛手花	740	NA
芒果	741	TCMBANKHE008154
犀角	742	TCMBANKHE009191
水飞蓟	743	TCMBANKHE006357
磁石	744	TCMBANKHE008591
藕节	745	TCMBANKHE006761
柴胡	746	TCMBANKHE004172
使君子	747	TCMBANKHE004087
首乌藤	748	NA
余甘子	749	TCMBANKHE003524
海藻	750	TCMBANKHE007579
竹茹	751	TCMBANKHE005984
蓼蓝	752	TCMBANKHE000280
麻黄	753	TCMBANKHE004973
木香	754	TCMBANKHE007295
蕲蛇	755	TCMBANKHE001554
龟甲胶	756	NA
橘络	757	TCMBANKHE002730
麦门冬	758	TCMBANKHE003071
茶叶	759	TCMBANKHE006388
泽泻	760	TCMBANKHE005062
桂枝	761	TCMBANKHE006660
麻黄根	762	TCMBANKHE007198
